,RiskPerformance,ExternalRiskEstimate,MSinceMostRecentTradeOpen,MSinceMostRecentDelq,MSinceMostRecentInqexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden
5504,Good,77,1,27,0,29,91
5505,Good,89,1,-7,5,18,59
5506,Bad,67,5,2,2,28,-8
5507,Good,66,9,43,1,58,25
5508,Bad,68,1,-7,0,39,89
5509,Good,65,6,12,1,45,55
5510,Good,60,8,7,4,12,-8
5511,Good,72,6,-7,4,59,-8
5512,Good,84,12,-7,5,29,-8
5513,Good,78,1,-7,2,24,95
5514,Bad,76,10,-7,9,31,65
5515,Good,82,7,40,1,12,84
5516,Good,87,3,-7,0,0,-8
5517,Good,86,3,46,2,2,99
5518,Good,87,6,-7,6,8,-8
5519,Good,77,3,-7,0,28,61
5520,Bad,64,9,22,0,67,-8
5521,Good,82,0,43,11,16,83
5522,Good,86,3,-7,-8,15,91
5523,Good,75,2,-7,0,15,95
5524,Good,69,22,38,0,-8,39
5525,Good,83,2,-7,1,26,100
5526,Good,71,4,-7,1,61,35
5527,Good,90,12,-7,-8,3,-8
5528,Good,71,3,7,2,17,99
5529,Good,74,17,38,2,49,-8
5530,Bad,75,10,6,10,5,79
5531,Good,75,12,1,0,27,-8
5532,Good,76,2,-7,1,2,-8
5533,Bad,70,6,44,2,40,79
5534,Good,73,7,-7,1,52,83
5535,Good,72,11,9,0,31,45
5536,Good,88,5,-7,0,6,96
5537,Bad,65,17,-7,22,88,77
5538,Bad,63,5,3,6,32,95
5539,Bad,70,11,72,1,67,60
5540,Good,85,10,-7,1,5,-8
5541,Good,80,54,-7,0,69,43
5542,Good,73,2,25,2,14,-8
5543,Good,75,2,32,1,36,53
5544,Bad,64,29,-7,-8,-8,4
5545,Bad,61,4,0,4,0,74
5546,Good,88,5,-7,5,1,-8
5547,Good,74,10,-7,6,80,99
5548,Bad,70,3,79,14,35,-8
5549,Good,70,1,23,1,16,45
5550,Good,90,12,-7,-8,0,-8
5551,Good,67,12,-7,-8,90,65
5552,Good,90,6,-7,6,5,95
5553,Good,75,1,59,6,4,98
5554,Good,80,13,1,12,10,-8
5555,Bad,54,7,2,6,48,62
5556,Bad,66,0,-7,0,40,68
5557,Good,68,10,44,10,76,-8
5558,Good,69,32,3,-8,1,21
5559,Bad,88,15,-7,0,8,49
5560,Good,74,2,64,0,34,85
5561,Good,69,2,-7,0,9,99
5562,Good,83,5,-7,4,0,62
5563,Good,72,2,-7,1,35,-8
5564,Good,75,5,23,5,15,67
5565,Good,84,6,24,6,3,-8
5566,Bad,91,4,-7,3,4,58
5567,Good,66,1,9,3,10,-8
5568,Good,69,35,26,0,57,-8
5569,Bad,69,28,7,8,55,-8
5570,Bad,66,8,-7,1,57,86
5571,Bad,84,12,46,1,0,-8
5572,Bad,66,3,4,1,6,95
5573,Bad,60,32,5,0,112,-8
5574,Bad,76,13,40,0,15,57
5575,Bad,70,5,-7,0,67,89
5576,Good,88,33,-7,0,15,-8
5577,Bad,61,8,-7,0,74,32
5578,Bad,58,4,7,0,72,41
5579,Bad,81,7,-7,0,19,-8
5580,Good,87,1,-7,0,9,-8
5581,Bad,58,3,-7,0,37,66
5582,Good,84,15,-7,0,0,70
5583,Bad,64,3,15,0,90,78
5584,Good,76,7,-7,0,31,64
5585,Bad,61,3,1,0,19,-8
5586,Good,85,4,-7,0,0,89
5587,Bad,68,5,20,0,47,90
5588,Good,68,6,22,0,11,85
5589,Good,72,8,28,0,1,57
5590,Bad,65,3,2,0,48,100
5591,Bad,56,26,3,0,42,-8
5592,Bad,58,10,5,0,-8,83
5593,Bad,60,3,-7,0,67,96
5594,Bad,64,18,14,0,0,68
5595,Good,68,5,23,0,30,78
5596,Good,70,16,-8,0,103,-8
5597,Bad,56,19,4,0,93,25
5598,Good,89,33,-7,0,3,-8
5599,Good,88,25,-7,0,4,-8
5600,Bad,68,8,-7,0,72,73
5601,Good,86,8,-7,0,18,-8
5602,Bad,90,1,-7,0,5,-8
5603,Bad,58,2,4,0,24,59
5604,Good,61,1,-7,0,32,-8
5605,Good,86,2,-7,0,9,-8
5606,Bad,71,2,16,0,24,98
5607,Bad,54,48,1,0,79,-8
5608,Good,-9,-9,-9,-9,-9,-9
5609,Good,82,34,20,0,13,-8
5610,Bad,75,2,21,0,17,69
5611,Good,71,1,71,0,73,70
5612,Bad,71,5,65,0,14,77
5613,Good,88,12,-7,0,10,-8
5614,Good,-9,-9,-9,-9,-9,-9
5615,Bad,66,6,-7,0,-8,-8
5616,Good,77,4,72,0,14,70
5617,Good,69,3,-7,0,32,80
5618,Bad,58,6,6,0,84,67
5619,Bad,63,5,77,0,74,-8
5620,Bad,61,25,0,0,67,-8
5621,Good,67,15,-7,0,50,-8
5622,Bad,81,7,-7,0,8,82
5623,Good,82,38,-7,0,32,-8
5624,Bad,72,4,11,0,21,64
5625,Bad,71,9,-7,0,29,2
5626,Bad,62,6,-7,0,81,74
5627,Good,78,14,37,0,30,-8
5628,Bad,66,2,2,0,9,45
5629,Bad,71,3,27,0,80,99
5630,Good,80,9,-7,0,14,72
5631,Bad,68,13,3,0,0,76
5632,Good,91,42,-7,0,7,-8
5633,Good,85,32,-7,0,24,48
5634,Good,72,3,16,0,18,-8
5635,Bad,79,156,-7,0,-8,-8
5636,Bad,72,5,39,0,12,95
5637,Good,74,18,5,0,14,65
5638,Bad,83,9,-7,0,15,-8
5639,Bad,80,3,-7,0,10,-8
5640,Bad,69,11,6,0,45,64
5641,Bad,71,5,50,0,52,50
5642,Bad,62,10,58,0,96,-8
5643,Bad,69,8,-7,0,26,85
5644,Bad,64,6,41,0,42,90
5645,Bad,62,2,-7,0,74,41
5646,Bad,59,15,6,0,58,65
5647,Bad,68,5,15,0,10,94
5648,Good,79,3,-7,0,46,63
5649,Good,70,2,70,0,24,91
5650,Bad,57,5,6,0,72,57
5651,Good,76,2,-7,0,24,92
5652,Good,88,4,-7,0,5,-8
5653,Good,74,7,-7,0,36,-8
5654,Bad,-9,-9,-9,-9,-9,-9
5655,Good,-9,-9,-9,-9,-9,-9
5656,Good,86,14,-7,0,18,-8
5657,Bad,72,3,14,0,1,-8
5658,Good,90,71,-7,0,0,-8
5659,Bad,-9,-9,-9,-9,-9,-9
5660,Bad,36,1,0,0,59,78
5661,Good,65,1,8,0,50,74
5662,Bad,58,15,19,0,0,-8
5663,Bad,-9,-9,-9,-9,-9,-9
5664,Good,-9,-9,-9,-9,-9,-9
5665,Bad,74,5,5,0,3,138
5666,Good,-9,-9,-9,-9,-9,-9
5667,Bad,58,8,-7,0,96,65
5668,Bad,-9,-9,-9,-9,-9,-9
5669,Bad,63,2,12,0,51,-8
5670,Good,68,12,54,0,68,84
5671,Bad,73,7,30,0,82,-8
5672,Bad,73,7,21,0,24,-8
5673,Bad,82,21,-7,0,20,-8
5674,Good,82,3,-7,0,6,-8
5675,Bad,72,5,9,0,19,-8
5676,Bad,81,8,-8,0,17,49
5677,Bad,61,6,9,0,44,84
5678,Bad,63,7,53,0,97,-8
5679,Bad,71,2,36,0,24,72
5680,Good,80,15,-7,0,16,72
5681,Good,57,5,7,0,29,-8
5682,Bad,72,3,-7,0,26,87
5683,Bad,88,19,-7,0,0,72
5684,Bad,86,46,-7,0,-8,-8
5685,Good,74,5,-7,0,45,56
5686,Bad,85,6,27,0,6,90
5687,Bad,55,4,38,0,60,77
5688,Bad,62,2,-7,0,73,85
5689,Good,74,4,23,0,9,9
5690,Bad,57,3,1,0,24,100
5691,Bad,73,12,-7,0,71,57
5692,Bad,70,1,8,0,25,-8
5693,Bad,74,2,13,0,40,95
5694,Good,85,12,63,0,0,82
5695,Good,79,9,76,0,27,88
5696,Bad,79,8,-7,0,32,87
5697,Bad,77,2,52,0,18,52
5698,Bad,69,18,1,0,23,70
5699,Bad,76,2,-7,0,31,88
5700,Good,65,2,27,0,29,96
5701,Good,75,1,42,0,28,20
5702,Bad,66,4,-7,0,80,95
5703,Good,82,5,-7,0,16,-8
5704,Bad,73,50,0,0,9,-8
5705,Bad,64,9,-7,0,86,35
5706,Bad,64,3,59,0,35,99
5707,Bad,59,10,32,0,62,87
5708,Bad,66,7,-8,0,-8,-8
5709,Bad,65,7,59,0,41,8
5710,Good,78,3,-7,0,24,-8
5711,Good,72,11,10,0,17,52
5712,Bad,75,1,13,0,7,88
5713,Bad,59,9,10,0,85,48
5714,Good,71,18,17,0,60,50
5715,Bad,63,5,7,0,66,-8
5716,Good,57,4,1,0,17,76
5717,Good,61,8,13,0,54,43
5718,Good,79,5,-7,0,23,82
5719,Good,81,17,25,0,26,-8
5720,Bad,68,1,6,0,21,93
5721,Good,59,9,3,0,63,72
5722,Bad,90,11,-7,0,1,-8
5723,Good,90,14,-7,0,3,-8
5724,Bad,54,8,0,0,31,-8
5725,Bad,74,4,-7,0,46,99
5726,Good,78,9,-7,0,23,-8
5727,Bad,61,11,4,0,2,-8
5728,Bad,64,1,23,0,31,82
5729,Bad,62,5,34,0,46,-8
5730,Good,63,36,7,0,54,-8
5731,Bad,71,3,-7,0,0,-8
5732,Good,59,3,-7,0,84,85
5733,Good,-9,-9,-9,-9,-9,-9
5734,Bad,65,6,17,0,58,77
5735,Bad,58,72,2,0,44,-8
5736,Bad,-9,-9,-9,-9,-9,-9
5737,Bad,63,9,49,0,84,-8
5738,Bad,60,8,19,0,89,93
5739,Bad,87,31,-7,0,0,52
5740,Bad,66,11,18,0,53,19
5741,Bad,54,7,5,0,21,-8
5742,Bad,76,9,-7,0,38,95
5743,Bad,56,4,-7,0,135,-8
5744,Bad,74,23,-7,0,71,74
5745,Bad,59,3,-7,0,39,-8
5746,Bad,55,65,15,0,34,61
5747,Bad,59,14,22,0,53,65
5748,Good,81,6,16,0,5,-8
5749,Good,80,3,81,0,5,82
5750,Bad,55,5,-7,0,97,93
5751,Good,73,8,17,0,21,-8
5752,Bad,59,207,1,0,4,-8
5753,Bad,75,1,-7,0,32,96
5754,Good,69,8,-7,0,17,51
5755,Bad,68,9,81,0,48,86
5756,Good,83,18,-7,0,16,78
5757,Bad,74,3,-7,0,23,99
5758,Bad,65,7,41,0,56,-8
5759,Bad,74,5,-8,0,25,-8
5760,Good,67,14,29,0,54,-8
5761,Bad,67,1,-7,0,100,-8
5762,Bad,61,6,43,0,84,92
5763,Bad,59,14,57,0,99,-8
5764,Good,69,1,38,0,96,-8
5765,Bad,57,6,1,0,50,95
5766,Bad,61,2,19,0,49,90
5767,Bad,64,14,6,0,88,66
5768,Bad,65,53,28,0,4,-8
5769,Good,76,2,-7,0,51,-8
5770,Bad,71,11,13,0,51,-8
5771,Good,80,8,-7,0,18,11
5772,Bad,43,11,1,0,-8,53
5773,Bad,64,5,-7,0,37,98
5774,Bad,65,14,-7,0,66,-8
5775,Bad,90,6,-7,0,0,-8
5776,Bad,55,20,38,0,-8,68
5777,Bad,81,21,-7,0,46,-8
5778,Bad,57,9,4,0,21,95
5779,Good,73,1,-7,0,70,90
5780,Bad,64,3,6,0,18,65
5781,Good,80,23,19,0,5,-8
5782,Bad,58,17,10,0,74,-8
5783,Bad,57,25,2,0,39,-8
5784,Good,63,8,11,0,11,46
5785,Good,-9,-9,-9,-9,-9,-9
5786,Bad,54,13,-7,0,33,-8
5787,Good,91,29,-7,0,3,-8
5788,Bad,57,4,5,0,78,83
5789,Bad,72,21,13,0,30,-8
5790,Bad,72,3,20,0,26,92
5791,Bad,65,6,9,0,56,-8
5792,Good,72,2,-7,0,28,69
5793,Bad,79,16,-8,0,17,92
5794,Bad,70,3,6,0,17,89
5795,Good,91,35,-7,0,1,-8
5796,Bad,61,4,-7,0,89,90
5797,Bad,73,56,47,0,0,-8
5798,Bad,71,3,9,0,7,70
5799,Good,74,6,36,0,13,67
5800,Bad,60,5,4,0,44,91
5801,Bad,63,3,4,0,44,94
5802,Bad,63,16,6,0,57,48
5803,Good,90,12,-7,0,1,-8
5804,Bad,76,32,11,0,3,-8
5805,Bad,70,20,18,0,54,31
5806,Good,66,6,-7,0,32,88
5807,Bad,67,26,1,0,47,-8
5808,Bad,67,10,-7,0,88,62
5809,Bad,59,26,2,0,100,63
5810,Good,88,50,-7,0,12,-8
5811,Good,80,3,-7,0,3,62
5812,Bad,76,13,-7,0,48,-8
5813,Good,78,21,51,0,27,77
5814,Bad,60,15,14,0,-8,-8
5815,Good,86,7,-7,0,2,-8
5816,Bad,54,15,-7,0,94,-8
5817,Bad,57,20,1,0,75,62
5818,Bad,68,7,-7,0,47,92
5819,Bad,65,9,-7,0,56,81
5820,Good,69,7,44,0,0,94
5821,Good,81,2,-7,0,17,82
5822,Bad,54,3,0,0,60,-8
5823,Bad,54,5,2,0,104,27
5824,Bad,61,8,21,0,71,-8
5825,Good,89,13,-7,0,4,33
5826,Good,66,2,26,0,11,3
5827,Bad,59,1,53,0,54,74
5828,Bad,64,20,1,0,67,79
5829,Bad,59,10,10,0,74,-8
5830,Good,70,3,14,0,43,10
5831,Bad,72,3,7,0,0,100
5832,Bad,66,1,68,0,67,-8
5833,Bad,68,12,-7,0,62,90
5834,Bad,59,6,41,0,70,85
5835,Good,87,33,-7,0,15,-8
5836,Bad,86,15,-7,0,4,-8
5837,Bad,73,2,43,0,98,-8
5838,Good,75,7,66,0,7,-8
5839,Bad,67,4,39,0,15,94
5840,Bad,57,3,13,0,72,100
5841,Good,-9,-9,-9,-9,-9,-9
5842,Bad,72,6,-7,0,59,76
5843,Bad,59,4,27,0,88,87
5844,Good,77,3,32,0,33,-8
5845,Good,76,8,-7,0,0,45
5846,Bad,66,15,41,0,66,-8
5847,Bad,78,12,-7,0,46,-8
5848,Good,85,3,-7,0,7,-8
5849,Good,55,7,14,0,97,-8
5850,Good,63,12,24,0,68,84
5851,Good,69,23,5,0,0,67
5852,Bad,58,8,6,0,87,79
5853,Bad,66,1,10,0,16,-8
5854,Bad,56,7,-7,0,95,-8
5855,Bad,73,24,15,0,50,35
5856,Bad,64,3,6,0,85,-8
5857,Bad,55,7,7,0,100,0
5858,Bad,70,8,11,0,3,82
5859,Bad,37,4,0,0,71,44
5860,Bad,58,7,-8,0,81,-8
5861,Good,89,30,-7,0,9,-8
5862,Good,86,10,-7,0,0,-8
5863,Good,56,2,2,0,48,100
5864,Good,84,33,-7,0,14,52
5865,Bad,70,2,-7,0,91,17
5866,Good,73,11,-7,0,74,58
5867,Bad,72,7,-7,0,17,-8
5868,Good,59,1,0,0,0,20
5869,Bad,65,2,-7,0,7,86
5870,Good,80,6,-7,0,2,140
5871,Bad,64,7,6,0,0,79
5872,Bad,68,13,39,0,98,53
5873,Good,69,1,61,-7,45,61
5874,Bad,63,5,-7,-7,96,75
5875,Good,78,13,33,-7,5,-8
5876,Bad,70,6,-7,-7,44,-8
5877,Good,-9,-9,-9,-9,-9,-9
5878,Good,86,7,-7,-7,6,-8
5879,Good,59,6,6,-7,42,50
5880,Good,64,3,-7,-7,69,65
5881,Good,-9,-9,-9,-9,-9,-9
5882,Bad,61,1,19,-7,24,-8
5883,Good,84,2,-7,-7,6,-8
5884,Good,85,4,-7,-7,4,6
5885,Good,80,5,-7,-7,28,92
5886,Bad,57,2,16,-7,46,-8
5887,Bad,80,36,-7,-7,65,-8
5888,Bad,78,2,24,-7,0,78
5889,Good,76,11,26,-7,5,-8
5890,Good,-9,-9,-9,-9,-9,-9
5891,Bad,59,9,-7,-7,-8,-8
5892,Bad,57,3,8,-7,53,80
5893,Good,82,61,-7,-7,50,-8
5894,Bad,60,6,6,-7,83,-8
5895,Good,83,35,-7,-7,26,-8
5896,Good,79,5,16,-7,8,92
5897,Bad,60,2,2,-7,28,74
5898,Bad,72,2,-7,-7,36,-8
5899,Bad,67,3,80,-7,103,44
5900,Bad,-9,-9,-9,-9,-9,-9
5901,Good,71,21,14,-7,51,-8
5902,Bad,67,10,3,-7,21,70
5903,Bad,-9,-9,-9,-9,-9,-9
5904,Bad,66,12,-7,-7,-8,83
5905,Good,88,10,-7,-7,1,-8
5906,Good,85,2,-7,-7,6,-8
5907,Bad,75,2,9,-7,27,74
5908,Good,90,15,-7,-7,1,-8
5909,Good,84,5,-7,-7,4,29
5910,Good,76,8,6,-7,24,-8
5911,Bad,79,9,9,-7,6,-8
5912,Bad,73,13,37,-7,94,18
5913,Bad,59,2,-7,-7,25,98
5914,Bad,54,2,-7,-7,71,92
5915,Bad,59,8,13,-7,104,-8
5916,Good,68,10,-7,-7,65,-8
5917,Good,83,17,53,-7,48,-8
5918,Good,66,1,21,-7,40,66
5919,Bad,66,4,-7,-7,95,-8
5920,Bad,76,3,-7,-7,1,81
5921,Bad,66,1,6,-7,26,-8
5922,Bad,59,62,6,-7,87,-8
5923,Good,58,20,5,-7,68,74
5924,Good,80,16,-7,-7,25,-8
5925,Bad,58,15,6,-7,85,43
5926,Good,81,5,21,-7,2,-8
5927,Good,63,12,22,-7,54,83
5928,Bad,68,11,67,-7,-8,28
5929,Bad,74,18,53,-7,70,-8
5930,Good,88,10,-7,-7,0,63
5931,Bad,66,3,-7,-7,39,80
5932,Good,65,3,60,-7,65,98
5933,Good,84,3,-7,-7,1,-8
5934,Bad,73,4,20,-7,25,17
5935,Good,66,19,9,-7,0,121
5936,Good,79,2,48,-7,1,96
5937,Good,89,28,-7,-7,3,-8
5938,Bad,72,4,28,-7,66,95
5939,Good,76,3,37,-7,31,67
5940,Good,55,5,3,-7,56,71
5941,Bad,64,25,13,-7,57,22
5942,Bad,64,1,4,-7,19,42
5943,Good,61,12,2,-7,35,20
5944,Good,78,22,72,-7,71,-8
5945,Good,74,1,-7,-7,47,72
5946,Good,66,3,22,-7,0,95
5947,Good,81,1,19,-7,11,48
5948,Bad,58,45,4,-7,55,-8
5949,Bad,61,5,27,-7,0,98
5950,Good,90,4,-7,-7,4,85
5951,Good,87,2,-7,-7,7,-8
5952,Bad,69,6,30,-7,73,99
5953,Bad,59,4,19,-7,101,82
5954,Good,71,18,14,-7,51,81
5955,Good,71,17,52,-7,-8,-8
5956,Bad,65,17,11,-7,63,77
5957,Bad,65,2,-7,-7,7,-8
5958,Bad,61,5,10,-7,108,-8
5959,Bad,63,12,4,-7,19,-8
5960,Bad,63,6,5,-7,53,-8
5961,Bad,60,1,-7,-7,96,42
5962,Bad,56,1,1,-7,44,-8
5963,Good,56,4,0,-7,88,49
5964,Good,81,2,-7,-7,32,48
5965,Bad,74,1,-7,-7,58,31
5966,Good,91,62,-7,-7,5,-8
5967,Good,88,17,-7,-7,10,15
5968,Bad,86,37,-7,-7,13,-8
5969,Bad,73,11,16,-7,16,-8
5970,Good,84,7,-7,-7,13,79
5971,Good,68,10,62,-7,24,84
5972,Bad,59,7,2,-7,60,-8
5973,Good,90,20,-7,-7,5,-8
5974,Good,75,9,10,-7,18,-8
5975,Bad,65,11,1,-7,52,77
5976,Bad,85,39,-7,1,0,-8
5977,Bad,62,6,3,0,71,93
5978,Good,59,36,7,13,110,-8
5979,Good,86,14,-7,1,1,-8
5980,Bad,63,4,16,19,83,-8
5981,Good,85,2,-7,1,5,-8
5982,Good,79,16,-7,16,25,-8
5983,Bad,61,4,13,3,90,-8
5984,Good,56,14,8,0,93,26
5985,Good,63,3,36,0,60,69
5986,Good,75,10,-7,7,33,-8
5987,Bad,82,1,40,3,1,-8
5988,Bad,54,3,1,0,72,70
5989,Good,73,11,2,10,0,14
5990,Bad,69,2,0,2,16,100
5991,Good,82,4,-7,23,6,-8
5992,Good,83,23,-7,23,35,-8
5993,Bad,71,4,-7,9,46,85
5994,Bad,62,21,16,20,38,30
5995,Bad,65,2,4,0,30,83
5996,Good,73,3,3,2,10,55
5997,Good,80,8,29,0,5,87
5998,Good,68,2,15,2,85,68
5999,Bad,64,3,5,5,23,75
6000,Bad,66,2,14,2,61,63
6001,Good,59,10,-7,1,52,87
6002,Good,87,2,-7,23,13,89
6003,Good,-9,-9,-9,-9,-9,-9
6004,Good,-9,-9,-9,-9,-9,-9
6005,Good,78,4,-7,4,3,28
6006,Bad,63,5,29,7,80,34
6007,Bad,73,5,-7,14,68,77
6008,Good,89,26,-7,1,1,-8
6009,Good,65,7,38,7,71,-8
6010,Bad,70,9,1,2,6,-8
6011,Good,65,5,10,20,58,-8
6012,Bad,67,2,14,1,77,89
6013,Good,84,21,-7,-8,10,53
6014,Bad,61,3,-7,3,36,72
6015,Good,85,2,-7,3,3,-8
6016,Good,70,3,-7,2,36,-8
6017,Good,79,12,-7,5,8,46
6018,Bad,77,8,-7,0,49,-8
6019,Good,70,8,29,16,46,91
6020,Good,64,2,16,2,74,91
6021,Good,91,34,-7,2,1,35
6022,Good,73,9,-7,1,3,-8
6023,Good,77,1,38,1,0,-8
6024,Bad,80,9,67,9,3,-8
6025,Bad,66,14,-7,3,69,-8
6026,Bad,57,3,9,3,44,90
6027,Bad,55,15,7,0,38,-8
6028,Good,85,25,-7,0,0,20
6029,Good,76,3,-7,9,22,-8
6030,Bad,58,3,1,1,0,48
6031,Good,79,5,-7,23,15,31
6032,Good,87,84,-7,-8,28,-8
6033,Good,74,2,-7,2,37,77
6034,Bad,69,9,-7,3,87,61
6035,Good,74,3,27,2,0,69
6036,Good,84,5,-7,16,4,67
6037,Good,71,17,9,-8,13,-8
6038,Bad,62,9,5,1,14,90
6039,Bad,62,9,5,1,14,90
6040,Bad,71,7,50,7,23,85
6041,Good,85,4,-7,1,21,61
6042,Good,87,1,-7,24,5,10
6043,Good,81,13,9,0,8,-8
6044,Good,78,2,-8,1,10,-8
6045,Good,81,9,32,1,16,17
6046,Good,75,12,7,11,13,45
6047,Bad,60,5,10,4,35,75
6048,Bad,70,7,-7,16,74,87
6049,Bad,80,9,-7,1,10,-8
6050,Good,83,12,-7,21,58,43
6051,Bad,72,2,44,2,26,65
6052,Good,83,6,-7,1,7,58
6053,Good,74,22,26,0,27,63
6054,Good,93,24,-7,23,1,-8
6055,Bad,62,33,21,0,-8,-8
6056,Good,56,1,6,1,77,86
6057,Bad,58,17,4,4,54,60
6058,Good,78,15,-7,1,24,83
6059,Good,74,11,-7,4,93,38
6060,Bad,56,4,10,0,33,-8
6061,Bad,85,10,-7,3,1,72
6062,Bad,86,17,52,24,0,41
6063,Good,91,29,-7,-8,1,-8
6064,Good,91,9,-7,-8,11,-8
6065,Bad,62,4,9,0,63,-8
6066,Good,-9,-9,-9,-9,-9,-9
6067,Good,74,3,-7,-8,22,84
6068,Good,81,7,59,5,11,-8
6069,Good,87,14,-7,16,0,82
6070,Bad,77,11,-8,3,7,-8
6071,Bad,77,7,-7,1,0,65
6072,Good,80,3,-7,2,18,73
6073,Good,68,6,48,5,84,31
6074,Good,84,4,-7,0,26,-8
6075,Good,85,24,61,-8,2,77
6076,Good,65,8,52,0,91,-8
6077,Bad,69,2,20,0,27,57
6078,Good,71,1,62,2,37,95
6079,Good,74,7,5,15,8,87
6080,Good,84,5,-7,0,36,22
6081,Good,80,10,-7,9,19,12
6082,Good,79,31,-7,-8,71,-8
6083,Bad,59,2,0,12,94,100
6084,Bad,63,5,5,6,97,-8
6085,Good,69,5,1,16,0,-8
6086,Bad,63,5,4,5,54,88
6087,Good,68,5,-7,5,78,-8
6088,Good,70,3,60,8,22,78
6089,Good,63,2,4,1,0,-8
6090,Good,62,2,32,2,4,80
6091,Good,86,1,25,0,1,-8
6092,Bad,57,5,3,-8,67,50
6093,Good,83,9,-7,0,13,2
6094,Good,73,4,-7,7,37,85
6095,Bad,74,17,4,0,6,-8
6096,Bad,65,2,-7,0,35,99
6097,Bad,59,2,50,20,69,-8
6098,Good,75,6,-7,13,96,11
6099,Good,70,8,34,-8,55,28
6100,Bad,61,1,-7,1,39,56
6101,Bad,56,4,9,0,59,28
6102,Good,91,20,-7,0,1,-8
6103,Bad,66,1,-7,2,45,-8
6104,Good,77,1,-7,0,3,-8
6105,Good,85,10,-7,0,3,56
6106,Good,88,13,-7,0,9,-8
6107,Good,72,9,33,0,82,86
6108,Bad,70,6,-7,0,86,-8
6109,Bad,77,7,12,0,33,-8
6110,Good,85,5,43,0,3,-8
6111,Good,88,21,-7,0,0,37
6112,Bad,68,1,15,0,39,1
6113,Good,82,3,-7,0,6,87
6114,Good,71,10,-7,0,23,-8
6115,Bad,76,9,6,0,2,-8
6116,Bad,68,1,20,0,27,-8
6117,Good,78,1,-7,0,17,96
6118,Good,85,26,-7,0,25,-8
6119,Good,74,4,-7,0,31,82
6120,Bad,64,2,7,0,53,73
6121,Bad,70,16,16,0,70,58
6122,Good,79,5,-7,0,9,57
6123,Good,83,4,16,0,1,96
6124,Good,80,13,-7,0,5,77
6125,Good,88,5,-7,0,4,80
6126,Good,77,11,-7,0,0,-8
6127,Good,83,3,-7,-8,-8,69
6128,Good,79,0,6,6,0,-8
6129,Good,78,7,-7,-8,37,20
6130,Good,55,4,2,3,22,38
6131,Good,59,86,16,-8,52,-8
6132,Good,68,15,6,1,49,85
6133,Good,72,14,19,-8,30,72
6134,Good,76,2,-7,0,14,-8
6135,Good,62,1,30,1,57,54
6136,Good,88,10,-7,-8,9,-8
6137,Good,76,1,-7,2,20,86
6138,Bad,69,2,-7,9,45,33
6139,Good,72,2,12,0,22,-8
6140,Bad,61,5,8,4,73,-8
6141,Good,81,152,-7,-8,41,-8
6142,Bad,62,31,16,19,12,43
6143,Good,79,19,-7,7,34,-8
6144,Bad,74,7,11,8,0,74
6145,Good,68,6,2,1,2,-8
6146,Good,85,19,41,-8,5,-8
6147,Bad,68,6,25,5,55,77
6148,Bad,62,16,2,7,56,89
6149,Good,83,26,52,2,2,20
6150,Good,90,30,-7,-8,6,-8
6151,Good,80,13,-7,0,21,80
6152,Good,81,34,-7,-8,14,60
6153,Bad,59,5,2,4,39,-8
6154,Bad,62,3,28,0,59,-8
6155,Bad,77,1,-7,0,10,-8
6156,Bad,66,57,26,1,38,45
6157,Good,80,3,46,2,7,83
6158,Good,74,8,-7,8,37,-8
6159,Good,76,24,-7,23,-8,24
6160,Good,78,3,-7,2,1,-8
6161,Bad,65,3,-7,0,70,-8
6162,Good,66,2,4,2,14,-8
6163,Bad,-9,-9,-9,-9,-9,-9
6164,Good,89,55,-7,-8,0,-8
6165,Good,71,7,56,7,81,90
6166,Bad,86,39,-7,-8,0,12
6167,Good,85,36,-7,-8,21,45
6168,Good,85,5,-7,0,0,-8
6169,Good,65,2,-7,1,57,32
6170,Good,77,30,25,0,13,-8
6171,Good,67,3,44,1,74,63
6172,Bad,65,4,-7,1,84,76
6173,Good,84,12,-7,1,8,53
6174,Bad,67,0,-7,0,44,81
6175,Good,80,9,-7,8,6,-8
6176,Bad,61,2,-7,0,82,60
6177,Bad,56,26,2,0,126,42
6178,Bad,76,12,66,19,48,67
6179,Good,84,23,-7,-8,37,19
6180,Good,73,2,39,10,26,79
6181,Good,83,9,-7,9,24,-8
6182,Good,80,10,-7,2,1,61
6183,Good,83,9,-7,20,21,70
6184,Good,69,9,-7,1,71,72
6185,Good,74,5,42,5,13,83
6186,Bad,86,7,81,6,7,-8
6187,Good,77,4,-7,3,34,-8
6188,Good,89,20,-7,-8,9,-8
6189,Good,88,7,-7,1,9,67
6190,Good,89,75,-7,9,5,-8
6191,Good,-9,-9,-9,-9,-9,-9
6192,Good,-9,-9,-9,-9,-9,-9
6193,Good,73,11,-7,10,48,87
6194,Bad,57,3,4,7,48,84
6195,Good,84,7,-7,7,18,75
6196,Bad,70,2,-7,2,6,98
6197,Good,83,6,-7,5,13,-8
6198,Good,-9,-9,-9,-9,-9,-9
6199,Good,-9,-9,-9,-9,-9,-9
6200,Good,-9,-9,-9,-9,-9,-9
6201,Good,65,11,-7,6,48,-8
6202,Good,-9,-9,-9,-9,-9,-9
6203,Bad,66,4,45,4,54,45
6204,Good,79,7,-7,4,0,46
6205,Good,88,9,-7,-8,4,-8
6206,Good,82,5,21,11,4,87
